Name,logk,tR,SE,Vertical EA,Vertical IP,Delta_min (NBO Charge),Dipole Moment,Ehomo (eV),Elumo (eV),Band gap (eV),I =-Ehomo (eV),A =Elumo (eV),η =1/2(Elumo-Ehomo),μ =1/2(Ehomo+Elumo),ω =(μ^2)/2η
JF-013,0.447788622195139,5.331,-210.55522949973,213.194134874985,574.117363939441,-0.83383,26.5709,-7.8600117727282,-0.18585383558156,7.67415793714664,7.8600117727282,0.18585383558156,3.83707896857332,-4.02293280415488,2.10889435418147
JF-014,0.315660245849381,4.292,-221.999784000086,217.723516200205,560.855677260035,-0.83468,24.5808,-7.67579062091456,-0.23701126030972,7.43877936060484,7.67579062091456,0.23701126030972,3.71938968030242,-3.95640094061214,2.10425765358416
JF-015,0.171311893556459,3.481,-215.128850499823,225.444266289097,587.017427376472,-0.83007,26.1746,-8.00178314657592,-0.32490406981608,7.67687907675984,8.00178314657592,0.32490406981608,3.83843953837992,-4.163343608196,2.25787456420668
JF-022,0.663491750175122,7.846,-217.906629499974,173.04411458336,585.535448148455,-0.83722,27.4041,-7.78001026810012,-0.12734933389776,7.65266093420236,7.78001026810012,0.12734933389776,3.82633046710118,-3.95367980099894,2.04263381106618
JF-025,0.901070370308238,12.551,-226.478887000419,226.369865310326,586.985545929843,-0.83462,26.9113,-7.99906200696272,-0.33633285619152,7.6627291507712,7.99906200696272,0.33633285619152,3.8313645753856,-4.16769743157712,2.26677748089614
JF-029HCl,0.445016048414932,5.305,-212.779028000085,211.777123644517,576.998435360389,-0.8395,27.3108,-7.90545480426864,-0.16979911186368,7.73565569240496,7.90545480426864,0.16979911186368,3.86782784620248,-4.03762695806616,2.10744015772427
JF-029ME-AE,0.460373011633189,5.455,-129.897244000103,255.036360805311,596.708087489724,-0.97591,14.1564,-8.08940384212096,-0.632664960069,7.45673888205196,8.08940384212096,0.632664960069,3.72836944102598,-4.36103440109498,2.55052796515523
JF-029QMe4AE,0.852213460712599,11.41,-132.058030500319,248.440710980234,598.527874049858,-0.97073,13.6593,-8.10164897038036,-0.55728939278336,7.544359577597,8.10164897038036,0.55728939278336,3.7721797887985,-4.32946918158186,2.48454533502464
JF-043,0.22582930880988,3.758,-166.570228000043,290.57738673513,607.404479510263,-0.98459,16.3903,-8.20858975717912,-0.96818147437656,7.24040828280256,8.20858975717912,0.96818147437656,3.62020414140128,-4.58838561577784,2.90774798005284
JF-045,-0.31713436245475,2.074,-157.483372500002,240.381476179926,586.857237744842,-0.98288,17.8529,-8.11960849182748,-0.3918441043008,7.72776438752668,8.11960849182748,0.3918441043008,3.86388219376334,-4.25572629806414,2.34365405255728
JF-051,1.20263531327578,23.755,-214.110156500306,158.309580165076,545.979279199734,-0.82472,27.2284,-7.69511071216828,0.48926090245336,8.18437161462164,7.69511071216828,-0.48926090245336,4.09218580731082,-3.60292490485746,1.58607996817386
JF-123,1.20499095256193,23.863,-146.611176999693,293.168151369675,609.826161944996,-0.98189,18.4712,-8.24423668611204,-0.99022270524348,7.25401398086856,8.24423668611204,0.99022270524348,3.62700699043428,-4.61722969567776,2.93889839733889
JF-128,0.693699337696477,8.319,-211.946744499798,220.68529023976,585.766001180087,-0.83784,26.8586,-8.01729364237116,-0.25823614929268,7.75905749307848,8.01729364237116,0.25823614929268,3.87952874653924,-4.13776489583192,2.20659511138459
JF-129,0.442841085950193,5.299,-213.535171999967,157.78820574941,546.5486162496,-0.82785,27.1151,-7.69892030762676,0.49307049791184,8.1919908055386,7.69892030762676,-0.49307049791184,4.0959954027693,-3.60292490485746,1.58460478999386
JF-130,0.708323221407862,8.563,-135.334654499807,252.827501399868,605.210349160459,-0.97176,13.029,-8.17892933539524,-0.59973917074928,7.57919016464596,8.17892933539524,0.59973917074928,3.78959508232298,-4.38933425307226,2.54199390260231
JF-131,0.461820393212495,5.472,-156.233634499576,237.262723495013,583.840511989677,-0.9835,17.4266,-8.0777029417842,-0.35891831498108,7.71878462680312,8.0777029417842,0.35891831498108,3.85939231340156,-4.21831062838264,2.30530393291926
JF-159 ,0.827635818619441,10.768,-210.274301000141,210.041408220283,576.251477985161,-0.83781,27.2303,-7.89484235977716,-0.15347227418448,7.74137008559268,7.89484235977716,0.15347227418448,3.87068504279634,-4.02415731698082,2.09185737573099
JS-36,0.411249483910536,5.02,-69.6131384997804,288.994026449803,583.16951295518,-0.67407,9.7287,-7.9647756478364,-0.95185463669736,7.01292101113904,7.9647756478364,0.95185463669736,3.50646050556952,-4.45831514226688,2.83427887982697
SafP,-0.335198362532485,2.049,-221.661094500046,155.191945942975,544.945885025666,-0.82721,26.7607,-7.67660696279852,0.52354726157968,8.2001542243782,7.67660696279852,-0.52354726157968,4.1000771121891,-3.57652985060942,1.55991770670267
SafQ,0.127950660264604,3.281,-216.551871500111,217.261134144004,585.419275024469,-0.83501,26.4066,-8.00749753976364,-0.2258545878956,7.78164295186804,8.00749753976364,0.2258545878956,3.89082147593402,-4.11667606382962,2.17782053472904
JF-052_111,1.25787377263833,26.783,-133.906382500428,222.213121199914,581.86981168922,-0.98174,16.0011,-8.07035586482856,-0.20218067326076,7.8681751915678,8.07035586482856,0.20218067326076,3.9340875957839,-4.13626826904466,2.17441970685158
TCS-238,0.064815932332098,3.034,-59.7622625001758,286.594826171406,577.85669818304,-0.67676,13.2421,-7.90463846238468,-0.91620770776444,6.98843075462024,7.90463846238468,0.91620770776444,3.49421537731012,-4.41042308507456,2.78343343053066
TCS-239,0.264592011511319,3.978,-72.2780209999174,289.512399919066,584.42333885826,-0.67486,13.4028,-8.00477640015044,-0.9442354457804,7.06054095437004,8.00477640015044,0.9442354457804,3.53027047718502,-4.47450592296542,2.83564720947631
TCS-240,0.178152950475152,3.503,-57.8824044998477,286.539821946649,575.900968484057,-0.67728,13.2204,-7.87606649644608,-0.91457502399652,6.96149147244956,7.87606649644608,0.91457502399652,3.48074573622478,-4.3953207602213,2.77510137902023
TCS-241,-0.16575316092246,2.357,-243.925334499949,221.322653994565,590.104721320562,-0.83525,26.3102,-8.06219244598896,-0.265311112287,7.79688133370196,8.06219244598896,0.265311112287,3.89844066685098,-4.16375177913798,2.22355941257389
TCS-243,0.448782431511882,5.337,-210.589360999942,223.757545319799,594.752851385192,-0.83505,26.6292,-8.10790759149072,-0.29061771068976,7.81728988080096,8.10790759149072,0.29061771068976,3.90864494040048,-4.19926265109024,2.2557442645372
TCS-245,1.1836812733731,22.75,-210.27955199953,219.827565644588,584.366215855323,-0.82095,26.8345,-8.00504851411176,-0.2489842746078,7.75606423950396,8.00504851411176,0.2489842746078,3.87803211975198,-4.12701639435978,2.19599319878811
TCS-247,1.26918616631464,27.443,-205.921221999789,218.361145129497,584.472128525169,-0.83236,27.0357,-7.99933412092404,-0.23728337427104,7.762050746653,7.99933412092404,0.23728337427104,3.8810253733265,-4.11830874759754,2.18504973674023
TCS-261,-0.176556491539275,2.336,-59.6309874999102,286.80378446557,577.094880477366,-0.67691,13.2032,-7.89511447373848,-0.91811250549368,6.9770019682448,7.89511447373848,0.91811250549368,3.4885009841224,-4.40661348961608,2.78317858232616
TCS-264,-1.01449884007535,1.543,-145.198657999976,266.788492630205,550.973232247982,-0.83523,32.6652,-7.7457239089738,-0.59075941002572,7.15496449894808,7.7457239089738,0.59075941002572,3.57748224947404,-4.16824165949976,2.42827739180868
TCS-265,-0.384510296865246,1.982,-132.625138499783,239.081937695931,568.598833365971,-0.83276,29.7139,-7.89919618315828,-0.3959258137206,7.50327036943768,7.89919618315828,0.3959258137206,3.75163518471884,-4.14756099843944,2.29263526286407
TCS-271,-0.298865476143662,2.103,-225.202894000059,159.51757271522,546.988337614965,-0.84035,27.2713,-7.70817218231164,0.47837634400056,8.1865485263122,7.70817218231164,-0.47837634400056,4.0932742631561,-3.61489791915554,1.59621443932264
TCS-272,-0.13911718236303,2.417,-69.5580030002181,241.768036861654,563.992572150013,-0.71588,16.0037,-7.89429813185452,-0.387762394881,7.50653573697352,7.89429813185452,0.387762394881,3.75326786848676,-4.14103026336776,2.28442683056371
TCS-281,-0.0222600798111,2.73,-212.356322499958,33.0201661843949,542.51797490453,-0.82619,26.7643,-7.64340905951748,0.55674516486072,8.2001542243782,7.64340905951748,-0.55674516486072,4.1000771121891,-3.54333194732838,1.53109331183463
