Analyte,tG
2-Deoxy Glucose,5.967
2-Deoxy Glucose,6.05
2-Deoxy Glucose,6.05
2-Deoxy Glucose,5.5
2-Deoxy Glucose,5.567
2-Deoxy Glucose,5.55
2-Deoxy Glucose,5.1
2-Deoxy Glucose,5.15
2-Deoxy Glucose,5.15
2-Deoxy Glucose,5.817
2-Deoxy Glucose,6.033
2-Deoxy Glucose,6.033
2-Deoxy Glucose,5.4
2-Deoxy Glucose,5.55
2-Deoxy Glucose,5.55
2-Deoxy Glucose,5.017
2-Deoxy Glucose,5.117
2-Deoxy Glucose,5.117
2-Deoxy Glucose,5.433
2-Deoxy Glucose,5.983
2-Deoxy Glucose,5.967
2-Deoxy Glucose,5.084
2-Deoxy Glucose,5.483
2-Deoxy Glucose,5.5
2-Deoxy Glucose,4.783
2-Deoxy Glucose,5.1
2-Deoxy Glucose,5.1
Arabinose,7.7
Arabinose,7.95
Arabinose,7.95
Arabinose,6.867
Arabinose,7.017
Arabinose,7.017
Arabinose,6.2
Arabinose,6.317
Arabinose,6.317
Arabinose,7.367
Arabinose,7.9
Arabinose,7.934
Arabinose,6.634
Arabinose,7.017
Arabinose,7
Arabinose,6.05
Arabinose,6.267
Arabinose,6.267
Arabinose,6.534
Arabinose,7.784
Arabinose,7.833
Arabinose,6
Arabinose,6.933
Arabinose,6.95
Arabinose,5.55
Arabinose,6.233
Arabinose,6.234
Arabitol,1.534
Arabitol,1.533
Arabitol,1.534
Arabitol,1.517
Arabitol,1.534
Arabitol,1.534
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.534
Arabitol,1.534
Arabitol,1.533
Arabitol,1.534
Arabitol,1.533
Arabitol,1.534
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.534
Arabitol,1.533
Arabitol,1.533
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Cellobiose,37.933
Cellobiose,40.117
Cellobiose,42.15
Cellobiose,33.434
Cellobiose,35.2
Cellobiose,36.833
Cellobiose,29.717
Cellobiose,31.167
Cellobiose,32.45
Cellobiose,29.717
Cellobiose,32.784
Cellobiose,35.733
Cellobiose,27.184
Cellobiose,29.867
Cellobiose,32.367
Cellobiose,24.767
Cellobiose,26.984
Cellobiose,29.167
Cellobiose,19.383
Cellobiose,23.817
Cellobiose,27.567
Cellobiose,18.867
Cellobiose,22.5
Cellobiose,26.05
Cellobiose,17.75
Cellobiose,21.267
Cellobiose,24.483
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.25
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.25
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.25
Erythritol,1.25
Erythritol,1.267
Erythritol,1.25
Fructose,14.333
Fructose,15.3
Fructose,15.917
Fructose,12.2
Fructose,12.833
Fructose,13.15
Fructose,10.584
Fructose,11.05
Fructose,11.183
Fructose,12.684
Fructose,14.417
Fructose,15.667
Fructose,11.133
Fructose,12.4
Fructose,13.083
Fructose,9.883
Fructose,10.75
Fructose,11.067
Fructose,9.884
Fructose,12.684
Fructose,14.9
Fructose,9.05
Fructose,11.383
Fructose,12.9
Fructose,8.35
Fructose,10.25
Fructose,11.017
Fucose,3.65
Fucose,3.667
Fucose,3.65
Fucose,3.417
Fucose,3.433
Fucose,3.417
Fucose,3.217
Fucose,3.234
Fucose,3.234
Fucose,3.617
Fucose,3.65
Fucose,3.65
Fucose,3.4
Fucose,3.433
Fucose,3.417
Fucose,3.2
Fucose,3.217
Fucose,3.217
Fucose,3.417
Fucose,3.65
Fucose,3.634
Fucose,3.317
Fucose,3.4
Fucose,3.4
Fucose,3.134
Fucose,3.2
Fucose,3.217
Galactitol,1.717
Galactitol,1.717
Galactitol,1.733
Galactitol,1.717
Galactitol,1.717
Galactitol,1.717
Galactitol,1.7
Galactitol,1.7
Galactitol,1.7
Galactitol,1.717
Galactitol,1.717
Galactitol,1.733
Galactitol,1.717
Galactitol,1.717
Galactitol,1.717
Galactitol,1.717
Galactitol,1.7
Galactitol,1.7
Galactitol,1.717
Galactitol,1.734
Galactitol,1.717
Galactitol,1.7
Galactitol,1.717
Galactitol,1.7
Galactitol,1.7
Galactitol,1.7
Galactitol,1.7
Galactose,9.75
Galactose,10.1
Galactose,10.183
Galactose,8.717
Galactose,8.967
Galactose,9
Galactose,7.884
Galactose,8.067
Galactose,8.084
Galactose,9.183
Galactose,9.967
Galactose,10.15
Galactose,8.334
Galactose,8.9
Galactose,8.967
Galactose,7.583
Galactose,7.984
Galactose,8
Galactose,7.534
Galactose,9.584
Galactose,10
Galactose,7.333
Galactose,8.684
Galactose,8.883
Galactose,6.85
Galactose,7.917
Galactose,7.967
Gentobiose,34.417
Gentobiose,36.367
Gentobiose,38.15
Gentobiose,30.433
Gentobiose,31.983
Gentobiose,33.383
Gentobiose,27.1
Gentobiose,28.367
Gentobiose,29.467
Gentobiose,27.6
Gentobiose,30.45
Gentobiose,33.167
Gentobiose,25.217
Gentobiose,27.7
Gentobiose,29.933
Gentobiose,23.1
Gentobiose,25.017
Gentobiose,26.95
Gentobiose,18.95
Gentobiose,22.667
Gentobiose,26.233
Gentobiose,17.917
Gentobiose,21.383
Gentobiose,24.734
Gentobiose,16.967
Gentobiose,20.183
Gentobiose,23.2
Glucose,10.95
Glucose,11.477667
Glucose,11.644333
Glucose,9.6
Glucose,9.95
Glucose,10.028
Glucose,8.55
Glucose,8.8
Glucose,8.822333
Glucose,10.133333
Glucose,11.2
Glucose,11.622333
Glucose,9.05
Glucose,9.833333
Glucose,9.983333
Glucose,8.150333
Glucose,8.689
Glucose,8.744667
Glucose,8.433667
Glucose,10.511333
Glucose,11.45
Glucose,7.767
Glucose,9.45
Glucose,9.861333
Glucose,7.189
Glucose,8.538667
Glucose,8.7
Glycerol,1.167
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Glycerol,1.167
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Glycerol,1.167
Glycerol,1.167
Glycerol,1.15
Glycerol,1.167
Glycerol,1.167
Glycerol,1.167
Glycerol,1.15
Glycerol,1.167
Glycerol,1.167
Glycerol,1.167
Glycerol,1.167
Glycerol,1.167
Glycerol,1.15
Glycerol,1.167
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Lactose,24.417
Lactose,25.933
Lactose,27.233
Lactose,21.25
Lactose,22.4
Lactose,23.333
Lactose,18.7
Lactose,19.6
Lactose,20.267
Lactose,20.383
Lactose,22.783
Lactose,24.983
Lactose,18.367
Lactose,20.367
Lactose,22.033
Lactose,16.6
Lactose,18.117
Lactose,19.433
Lactose,14.75
Lactose,18.117
Lactose,21.284
Lactose,13.767
Lactose,16.833
Lactose,19.667
Lactose,12.917
Lactose,15.667
Lactose,18.05
Lactulose,26.1
Lactulose,27.934
Lactulose,29.567
Lactulose,22.334
Lactulose,23.717
Lactulose,24.867
Lactulose,19.4
Lactulose,20.45
Lactulose,21.25
Lactulose,21.184
Lactulose,23.917
Lactulose,26.484
Lactulose,18.9
Lactulose,21.167
Lactulose,23.117
Lactulose,16.95
Lactulose,18.667
Lactulose,20.2
Lactulose,14.9
Lactulose,18.5
Lactulose,21.967
Lactulose,13.867
Lactulose,17.134
Lactulose,20.217
Lactulose,12.967
Lactulose,15.9
Lactulose,18.5
Lyxose,11.533
Lyxose,12.234
Lyxose,12.517
Lyxose,9.834
Lyxose,10.3
Lyxose,10.4
Lyxose,8.567
Lyxose,8.884
Lyxose,8.917
Lyxose,10.467
Lyxose,11.8
Lyxose,12.484
Lyxose,9.167
Lyxose,10.133
Lyxose,10.35
Lyxose,8.134
Lyxose,8.767
Lyxose,8.85
Lyxose,8.2
Lyxose,10.9
Lyxose,12.317
Lyxose,7.75
Lyxose,9.683
Lyxose,10.3
Lyxose,7.067
Lyxose,8.6
Lyxose,8.817
Maltitol,5.133
Maltitol,5.15
Maltitol,5.15
Maltitol,4.967
Maltitol,4.983
Maltitol,4.984
Maltitol,4.8
Maltitol,4.817
Maltitol,4.817
Maltitol,5.084
Maltitol,5.15
Maltitol,5.134
Maltitol,4.934
Maltitol,4.983
Maltitol,4.967
Maltitol,4.767
Maltitol,4.783
Maltitol,4.783
Maltitol,4.934
Maltitol,5.1
Maltitol,5.067
Maltitol,4.767
Maltitol,4.917
Maltitol,4.917
Maltitol,4.634
Maltitol,4.75
Maltitol,4.75
Mannosamine,7.667
Mannosamine,7.983
Mannosamine,8
Mannosamine,6.65
Mannosamine,6.833
Mannosamine,6.817
Mannosamine,5.867
Mannosamine,5.983
Mannosamine,5.983
Mannosamine,7.267
Mannosamine,7.95
Mannosamine,8
Mannosamine,6.4
Mannosamine,6.817
Mannosamine,6.8
Mannosamine,5.717
Mannosamine,5.95
Mannosamine,5.95
Mannosamine,6.334
Mannosamine,7.834
Mannosamine,7.883
Mannosamine,5.733
Mannosamine,6.75
Mannosamine,6.75
Mannosamine,5.267
Mannosamine,5.933
Mannosamine,5.917
Mannose,12.75
Mannose,13.617
Mannose,14.1
Mannose,10.767
Mannose,11.334
Mannose,11.517
Mannose,9.3
Mannose,9.683
Mannose,9.75
Mannose,11.384
Mannose,13
Mannose,14
Mannose,9.917
Mannose,11.05
Mannose,11.467
Mannose,8.75
Mannose,9.5
Mannose,9.65
Mannose,9
Mannose,11.667
Mannose,13.6
Mannose,8.2
Mannose,10.35
Mannose,11.367
Mannose,7.517
Mannose,9.217
Mannose,9.617
Melibiose,17.983
Melibiose,19.134
Melibiose,19.967
Melibiose,15.484
Melibiose,16.317
Melibiose,16.85
Melibiose,13.567
Melibiose,14.167
Melibiose,14.517
Melibiose,15.567
Melibiose,17.533
Melibiose,19.167
Melibiose,13.867
Melibiose,15.417
Melibiose,16.517
Melibiose,12.417
Melibiose,13.55
Melibiose,14.3
Melibiose,11.284
Melibiose,14.85
Melibiose,17.5
Melibiose,10.917
Melibiose,13.567
Melibiose,15.733
Melibiose,10.1
Melibiose,12.434
Melibiose,14.05
N-acetyl-glucosamine,11.684
N-acetyl-glucosamine,12.567
N-acetyl-glucosamine,13
N-acetyl-glucosamine,9.617
N-acetyl-glucosamine,10.15
N-acetyl-glucosamine,10.267
N-acetyl-glucosamine,8.184
N-acetyl-glucosamine,8.517
N-acetyl-glucosamine,8.55
N-acetyl-glucosamine,10.384
N-acetyl-glucosamine,12.033
N-acetyl-glucosamine,12.95
N-acetyl-glucosamine,8.883
N-acetyl-glucosamine,9.984
N-acetyl-glucosamine,10.233
N-acetyl-glucosamine,7.733
N-acetyl-glucosamine,8.417
N-acetyl-glucosamine,8.483
N-acetyl-glucosamine,8.234
N-acetyl-glucosamine,10.9
N-acetyl-glucosamine,12.767
N-acetyl-glucosamine,7.4
N-acetyl-glucosamine,9.5
N-acetyl-glucosamine,10.184
N-acetyl-glucosamine,6.717
N-acetyl-glucosamine,8.284
N-acetyl-glucosamine,8.467
Raffinose,24.55
Raffinose,25.25
Raffinose,25.784
Raffinose,23
Raffinose,23.6
Raffinose,24.05
Raffinose,21.567
Raffinose,22.083
Raffinose,22.483
Raffinose,22.3
Raffinose,23.634
Raffinose,24.783
Raffinose,21.084
Raffinose,22.3
Raffinose,23.2
Raffinose,19.917
Raffinose,20.817
Raffinose,21.684
Raffinose,17.767
Raffinose,20.2
Raffinose,22.283
Raffinose,17.033
Raffinose,19.317
Raffinose,21.334
Raffinose,16.367
Raffinose,18.533
Raffinose,20.35
Rhamnose,7.2
Rhamnose,7.483
Rhamnose,7.5
Rhamnose,6.167
Rhamnose,6.334
Rhamnose,6.334
Rhamnose,5.433
Rhamnose,5.517
Rhamnose,5.517
Rhamnose,6.834
Rhamnose,7.467
Rhamnose,7.483
Rhamnose,5.95
Rhamnose,6.317
Rhamnose,6.317
Rhamnose,5.283
Rhamnose,5.5
Rhamnose,5.5
Rhamnose,5.967
Rhamnose,7.383
Rhamnose,7.4
Rhamnose,5.383
Rhamnose,6.267
Rhamnose,6.284
Rhamnose,4.9
Rhamnose,5.467
Rhamnose,5.467
Ribitol,1.75
Ribitol,1.767
Ribitol,1.75
Ribitol,1.733
Ribitol,1.734
Ribitol,1.733
Ribitol,1.733
Ribitol,1.734
Ribitol,1.734
Ribitol,1.75
Ribitol,1.75
Ribitol,1.75
Ribitol,1.734
Ribitol,1.75
Ribitol,1.734
Ribitol,1.733
Ribitol,1.734
Ribitol,1.733
Ribitol,1.75
Ribitol,1.75
Ribitol,1.75
Ribitol,1.733
Ribitol,1.733
Ribitol,1.733
Ribitol,1.717
Ribitol,1.717
Ribitol,1.717
Ribose,15.583
Ribose,16.6
Ribose,17.3
Ribose,13.317
Ribose,14.034
Ribose,14.433
Ribose,11.617
Ribose,12.117
Ribose,12.334
Ribose,13.667
Ribose,15.484
Ribose,16.867
Ribose,12.084
Ribose,13.45
Ribose,14.283
Ribose,10.75
Ribose,11.734
Ribose,12.2
Ribose,10.1
Ribose,13.434
Ribose,15.833
Ribose,9.717
Ribose,12.167
Ribose,13.95
Ribose,9
Ribose,11.033
Ribose,12.15
Sorbitol,1.784
Sorbitol,1.784
Sorbitol,1.784
Sorbitol,1.767
Sorbitol,1.767
Sorbitol,1.767
Sorbitol,1.75
Sorbitol,1.75
Sorbitol,1.75
Sorbitol,1.784
Sorbitol,1.783
Sorbitol,1.783
Sorbitol,1.767
Sorbitol,1.767
Sorbitol,1.767
Sorbitol,1.75
Sorbitol,1.75
Sorbitol,1.75
Sorbitol,1.784
Sorbitol,1.767
Sorbitol,1.767
Sorbitol,1.75
Sorbitol,1.75
Sorbitol,1.75
Sorbitol,1.75
Sorbitol,1.75
Sorbitol,1.75
Sorbose,15
Sorbose,16.017
Sorbose,16.7
Sorbose,12.733
Sorbose,13.434
Sorbose,13.783
Sorbose,11.067
Sorbose,11.534
Sorbose,11.7
Sorbose,13.167
Sorbose,14.983
Sorbose,16.334
Sorbose,11.567
Sorbose,12.917
Sorbose,13.684
Sorbose,10.267
Sorbose,11.184
Sorbose,11.583
Sorbose,10.184
Sorbose,13.05
Sorbose,15.417
Sorbose,9.333
Sorbose,11.75
Sorbose,13.417
Sorbose,8.567
Sorbose,10.6
Sorbose,11.534
Sucrose,12.467
Sucrose,12.717
Sucrose,12.8
Sucrose,11.784
Sucrose,12
Sucrose,12.067
Sucrose,11.15
Sucrose,11.334
Sucrose,11.4
Sucrose,11.95
Sucrose,12.517
Sucrose,12.767
Sucrose,11.35
Sucrose,11.85
Sucrose,12.017
Sucrose,10.733
Sucrose,11.117
Sucrose,11.25
Sucrose,10.2
Sucrose,11.917
Sucrose,12.617
Sucrose,10.133
Sucrose,11.35
Sucrose,11.867
Sucrose,9.65
Sucrose,10.834
Sucrose,11.2
Trehalose,2.267
Trehalose,2.267
Trehalose,2.267
Trehalose,2.233
Trehalose,2.234
Trehalose,2.25
Trehalose,2.217
Trehalose,2.217
Trehalose,2.217
Trehalose,2.267
Trehalose,2.267
Trehalose,2.267
Trehalose,2.25
Trehalose,2.233
Trehalose,2.233
Trehalose,2.2
Trehalose,2.217
Trehalose,2.217
Trehalose,2.167
Trehalose,2.25
Trehalose,2.25
Trehalose,2.217
Trehalose,2.234
Trehalose,2.233
Trehalose,2.2
Trehalose,2.2
Trehalose,2.2
Xylose,12.517
Xylose,13.234
Xylose,13.583
Xylose,10.8
Xylose,11.3
Xylose,11.45
Xylose,9.517
Xylose,9.85
Xylose,9.917
Xylose,11.35
Xylose,12.734
Xylose,13.534
Xylose,10.05
Xylose,11.067
Xylose,11.417
Xylose,8.984
Xylose,9.667
Xylose,9.833
Xylose,9.167
Xylose,11.6
Xylose,13.217
Xylose,8.417
Xylose,10.417
Xylose,11.3
Xylose,7.767
Xylose,9.383
Xylose,9.784
